ID,Sex,Length(mm),Diameter(mm),Height(mm),Whole weight(g),Shucked weight(g),Viscera weight(g),Shell weight(g)
1,I,0.235,0.175,0.04,0.0705,0.0335,0.015,0.02
2,M,0.645,0.495,0.15,1.2095,0.603,0.2225,0.339
3,F,0.725,0.56,0.185,1.792,0.873,0.367,0.435
4,F,0.45,0.335,0.105,0.425,0.1865,0.091,0.115
5,I,0.44,0.325,0.1,0.4165,0.185,0.0865,0.11
6,M,0.56,0.425,0.135,0.9415,0.509,0.2015,0.1975
7,M,0.56,0.44,0.16,0.8645,0.3305,0.2075,0.26
8,I,0.285,0.21,0.07,0.109,0.044,0.0265,0.033
9,M,0.58,0.45,0.14,1.013,0.38,0.216,0.36
10,F,0.56,0.44,0.155,0.9705,0.4315,0.263,0.255
11,M,0.63,0.515,0.16,1.016,0.4215,0.244,0.355
12,F,0.595,0.47,0.25,1.283,0.462,0.2475,0.445
13,F,0.64,0.505,0.175,1.3185,0.6185,0.302,0.3315
14,M,0.68,0.54,0.19,1.623,0.7165,0.354,0.4715
15,I,0.395,0.3,0.09,0.253,0.1155,0.05,0.075
16,I,0.27,0.205,0.075,0.118,0.059,0.031,0.0305
17,I,0.445,0.345,0.13,0.4075,0.1365,0.0645,0.18
18,I,0.58,0.46,0.14,0.8295,0.3915,0.165,0.238
19,I,0.36,0.27,0.085,0.196,0.0905,0.034,0.053
20,M,0.675,0.54,0.175,1.5545,0.6645,0.278,0.512
21,I,0.465,0.345,0.11,0.4415,0.1755,0.0905,0.12
22,I,0.58,0.42,0.16,0.728,0.2725,0.19,0.19
23,F,0.47,0.375,0.125,0.5615,0.252,0.137,0.18
24,F,0.705,0.56,0.17,1.4575,0.607,0.318,0.44
25,I,0.45,0.35,0.12,0.468,0.2005,0.1065,0.1325
26,F,0.595,0.43,0.21,1.5245,0.653,0.396,0.41
27,F,0.63,0.485,0.185,1.167,0.548,0.2485,0.34
28,M,0.505,0.4,0.15,0.775,0.3445,0.157,0.185
29,F,0.64,0.5,0.165,1.1635,0.554,0.239,0.32
30,I,0.33,0.25,0.075,0.1405,0.056,0.035,0.05
31,F,0.75,0.565,0.215,1.938,0.7735,0.4825,0.575
32,M,0.61,0.48,0.17,1.137,0.4565,0.29,0.347
33,F,0.725,0.575,0.175,2.124,0.765,0.4515,0.85
34,F,0.715,0.565,0.24,2.1995,0.7245,0.465,0.885
35,I,0.43,0.315,0.095,0.378,0.175,0.08,0.1045
36,I,0.51,0.39,0.125,0.597,0.293,0.1265,0.1555
37,F,0.645,0.48,0.17,1.1345,0.528,0.254,0.305
38,M,0.63,0.48,0.145,1.0115,0.4235,0.237,0.305
39,F,0.595,0.47,0.165,1.0155,0.491,0.1905,0.289
40,F,0.52,0.41,0.125,0.6985,0.2945,0.1625,0.215
41,I,0.505,0.4,0.125,0.5605,0.2255,0.1435,0.17
42,F,0.665,0.515,0.185,1.3405,0.5595,0.293,0.4375
43,I,0.555,0.43,0.155,0.7395,0.3135,0.1435,0.28
44,M,0.675,0.555,0.2,1.4385,0.545,0.2665,0.465
45,M,0.605,0.49,0.145,1.3,0.517,0.3285,0.31
46,F,0.545,0.425,0.125,0.768,0.294,0.1495,0.26
47,I,0.545,0.405,0.13,0.658,0.327,0.1445,0.174
48,F,0.43,0.35,0.09,0.397,0.1575,0.089,0.12
49,M,0.71,0.555,0.175,2.14,1.2455,0.3725,0.434
50,F,0.585,0.45,0.15,0.938,0.467,0.203,0.225
51,M,0.6,0.465,0.155,1.262,0.6245,0.2455,0.33
52,M,0.645,0.515,0.175,1.6115,0.6745,0.384,0.385
53,I,0.43,0.34,0,0.428,0.2065,0.086,0.115
54,I,0.6,0.445,0.135,0.9205,0.445,0.2035,0.253
55,F,0.49,0.375,0.135,0.6125,0.2555,0.102,0.22
56,I,0.28,0.21,0.055,0.106,0.0415,0.0265,0.031
57,I,0.51,0.38,0.115,0.5155,0.215,0.1135,0.166
58,I,0.325,0.2,0.08,0.0995,0.0395,0.0225,0.032
59,I,0.385,0.29,0.09,0.2365,0.1,0.0505,0.076
60,I,0.385,0.285,0.085,0.244,0.1215,0.0445,0.068
61,M,0.49,0.39,0.14,0.707,0.2795,0.2185,0.18
62,M,0.63,0.505,0.15,1.3165,0.6325,0.2465,0.37
63,M,0.5,0.39,0.13,0.709,0.275,0.168,0.18
64,F,0.62,0.485,0.175,1.2155,0.545,0.253,0.345
65,M,0.665,0.535,0.195,1.606,0.5755,0.388,0.48
66,I,0.53,0.395,0.13,0.575,0.247,0.115,0.183
67,M,0.585,0.465,0.15,0.98,0.4315,0.2545,0.247
68,I,0.415,0.315,0.1,0.3645,0.1765,0.0795,0.095
